0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,Orange,LightBlue,Green,Silver,Blue,0,Yellow_Item,White,Orange_Item,LightBlue,Green,0
0,LightBlue,Green,Silver,Blue,Pink,0,White,Orange,LightBlue_Item,Green,Silver,0
0,Green,Silver,Blue_Item,Pink,Yellow,0,Orange,LightBlue,Green,Silver,Blue_Item,0
0,Silver,Blue,Pink,Yellow,White,0,LightBlue,Green,Silver,Blue,Pink,0
0,Blue,Pink,Yellow,White,Orange,0,Green,Silver,Blue,Pink,Yellow,0
0,Pink,Yellow,White,Orange,LightBlue,0,Silver,Blue,Pink,Yellow,White,0
0,Yellow_Item,White,Orange,LightBlue,Green,0,Blue,Pink_Item,Yellow,White,Orange,0
0,White,Orange,LightBlue,Green,Silver,0,Pink,Yellow,White,Orange,LightBlue_Item,0
0,Orange,LightBlue,Green_Item,Silver,Blue,0,Yellow,White,Orange,LightBlue,Green,0
0,LightBlue,Green,Silver,Blue_Item,Pink,0,White,Orange,LightBlue,Green,Silver,0
0,Green,Silver,Blue,Pink,Yellow,0,Orange,LightBlue,Green,Silver,Blue,0
0,Silver,Blue,Pink,Yellow,White_Item,0,LightBlue_Item,Green_Item,Silver,Blue,Pink,0
0,Blue,Pink,Yellow,White,Orange,0,Green,Silver,Blue,Pink,Yellow,0
0,Pink,Yellow,White,Orange,LightBlue,0,Silver,Blue,Pink,Yellow,White_Item,0
