0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold
0,0,0,0,Gold,0,0,0,0,0,Gold,Pink_Item,0
0,Gold,White_Item,0,Gold,0,0,0,0,0,Gold,0,0
0,Gold,0,0,Gold,0,0,Gold,0,0,Gold,0,0
0,Gold,0,0,Gold,Green_Item,0,Gold,0,0,Gold,0,0
0,Gold,0,0,Gold,0,0,Gold,0,0,Gold,0,0
0,Gold,0,Orange_Item,Gold,0,0,Gold,0,Blue_Item,Gold,0,0
0,Gold,0,0,Gold,0,0,Gold,0,0,Gold,0,0
0,Gold,0,0,Gold,0,0,Gold,0,0,Gold,0,0
0,Gold,0,0,Gold,0,Red_Item,Gold,0,0,Gold,0,0
0,Gold,0,0,Gold,0,0,Gold,0,0,Gold,0,0
0,Gold,LightBlue_Item,0,0,0,0,Gold,0,0,0,0,0
0,Gold,0,0,0,0,0,Gold,0,0,0,,Yellow_Item
0,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold
