0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,Silver,0,0,0,0,0,0
0,0,0,Blue,Blue,Blue_Item,Silver,Green_Item,Green,Green,0,0,0
0,0,Blue,Blue,Blue_Item,White,White,White,Green,Green,Green_Item,0,0
0,Blue,Blue,Blue_Item,White,White,White_Item,White,White,Green_Item,Green,0,0
0,Blue,Blue_Item,Blue,White,White,White,White,White_Item,Green,Green,Green,0
0,Blue_Item,Blue,Blue,White,White,White,White_Item,White,Green,Green,Green,0
0,Blue,Blue,Blue,White,White,White_Item,White,White,Green,Green,Green_Item,0
0,Silver,0,0,Silver,0,Silver,0,Silver,0,0,Silver,0
0,0,0,0,0,0,Silver,0,0,0,0,0,0
0,0,0,0,0,0,Silver,0,0,0,0,0,0
0,0,0,0,0,0,Silver,0,0,0,0,0,0
0,0,0,0,Gold,0,Gold,0,0,0,0,0,0
0,0,0,0,Gold,Gold,Gold,0,0,0,0,0,0
0,0,0,0,0,Gold,0,0,0,0,0,0,0
