0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Gold,White_Item,Gold,Orange_Item,Gold,LightBlue_Item,Gold,Green_Item,Gold,Red_Item,Gold,Blue_Item,Gold
Gold,Pink_Item,Gold,Silver,Gold,Silver,Gold,Silver,Gold,Silver,Gold,Yellow_Item,Gold
0,0,0,0,0,0,0,0,0,0,0,0,0
Gold,Pink_Item,Gold,0,Gold,0,Gold,0,Gold,0,Gold,0,Gold
Gold,0,Gold,Pink_Item,Gold,0,Gold,0,Gold,0,Gold,0,Gold
Gold,0,Gold,0,Gold,Pink_Item,Gold,0,Gold,0,Gold,0,Gold
Gold,0,Gold,0,Gold,0,Gold,Pink_Item,Gold,0,Gold,0,Gold
Gold,0,Gold,0,Gold,0,Gold,0,Gold,Pink_Item,Gold,0,Gold
0,0,0,0,0,0,0,0,0,0,0,Pink_Item,0
0,0,Gold,0,Gold,0,Gold,0,Gold,Pink_Item,Gold,0,0
0,0,Gold,0,Gold,0,Gold,Pink_Item,Gold,0,Gold,0,0
0,0,Gold,0,Gold,Pink_Item,Gold,0,Gold,0,Gold,0,0
0,0,0,Pink_Item,Gold,0,Gold,0,Gold,0,0,0,0
0,Pink_Item,0,0,0,0,Gold,0,0,0,0,0,0
