0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Blue_Item,0,Red_Item,0,Green_Item,0,LightBlue_Item,0,Green_Item,0,Red_Item,0,Blue_Item
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Blue_Item,0,Gold,Orange_Item,Gold,Orange_Item,Gold,Orange_Item,Gold,Orange_Item,Gold,0,Blue_Item
Blue,0,Red_Item,0,Green,0,LightBlue_Item,0,Green,0,Red_Item,0,Blue
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
Orange_Item,0,Orange_Item,0,Orange_Item,0,Orange_Item,0,Orange_Item,0,Orange_Item,0,Orange_Item
Blue,0,Red,0,Green,0,LightBlue,0,Green,0,Red,0,Blue
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
