0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,0,Gold,Yellow_Item,Yellow_Item,Yellow_Item,Yellow_Item,Yellow_Item,Yellow_Item,Yellow_Item,Gold,0,Orange
Orange,0,Gold,Gold,Yellow,Yellow,Yellow,Yellow,Yellow,Gold,Gold,0,Orange
Orange_Item,0,Gold,0,Gold,Yellow,Yellow,Yellow,Gold,0,Gold,0,Orange_Item
Orange_Item,0,Gold,0,Pink,Gold,Yellow_Item,Gold,LightBlue,0,Gold,0,Orange_Item
Orange_Item,0,Gold,0,Pink_Item,0,Silver,0,LightBlue_Item,0,Gold,0,Orange_Item
Orange_Item,0,Gold,0,Pink_Item,0,Green_Item,0,LightBlue_Item,0,Gold,0,Orange_Item
Orange_Item,0,Gold,0,Pink_Item,0,Green,0,LightBlue_Item,0,Gold,0,Orange_Item
Orange_Item,0,Gold,0,Pink_Item,0,Green_Item,0,LightBlue_Item,0,Gold,0,Orange_Item
Orange_Item,0,Gold,0,Pink_Item,0,Green,0,LightBlue_Item,0,Gold,0,Orange_Item
Orange,Gold,Gold,Gold,Pink,0,Green_Item,0,LightBlue,Gold,Gold,Gold,Orange
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
