0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Green_Item,0,Red_Item,0,Blue_Item,0,Pink_Item,0,Yellow_Item,0,White_Item,0,Orange_Item
Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver
0,0,0,Red_Item,0,Green_Item,0,LightBlue_Item,0,Orange_Item,0,White_Item,0
0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0
LightBlue_Item,0,Green_Item,0,Red_Item,0,Blue_Item,0,Pink_Item,0,Yellow_Item,0,White_Item
Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver
0,Pink_Item,0,0,0,Red_Item,0,Green_Item,0,LightBlue_Item,0,Orange_Item,0
0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0
Orange_Item,0,LightBlue_Item,0,Green_Item,0,Red_Item,0,Blue_Item,0,Pink_Item,0,Yellow_Item
Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver
0,Yellow_Item,0,Pink_Item,0,0,0,Red_Item,0,Green_Item,0,LightBlue_Item,0
0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0
White_Item,0,Orange_Item,0,LightBlue_Item,0,Green_Item,0,Red_Item,0,Blue_Item,0,Pink_Item
Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver,0,Silver
