0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,Yellow,Yellow,Pink,0,0,0,0,0
0,0,0,0,Yellow,Yellow,Pink,Pink,Blue,0,0,0,0
0,0,0,Yellow,Yellow,Pink,Pink,Blue,Blue,Red,0,0,0
0,0,0,Yellow,Pink,Pink,Blue,Blue,Red,Red,0,0,0
0,0,Yellow,Pink,Pink_Item,Blue,Blue_Item,Red,Red_Item,Green,Green,0,0
0,0,Pink,Pink,Blue,Blue,Red,Red,Green,Green,LightBlue,0,0
0,0,Pink,Blue,Blue,Red,Red_Item,Green,Green,LightBlue,LightBlue,0,0
0,0,Blue,Blue,Red,Red,Green,Green,LightBlue,LightBlue,Orange,0,0
0,0,Blue,Red,Red,Green,Green_Item,LightBlue,LightBlue,Orange,Orange,0,0
0,0,Red,Red,Green_Item,Green,LightBlue_Item,LightBlue,Orange_Item,Orange,White,0,0
0,0,0,Green,Green,LightBlue,LightBlue,Orange,Orange,White,0,0,0
0,0,0,Green,LightBlue,LightBlue,Orange,Orange,White,White,0,0,0
0,0,0,0,LightBlue,Orange,Orange,White,White,0,0,0,0
0,0,0,0,0,Orange,White,White,0,0,0,0,0
