0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,Yellow,Yellow,Yellow,0,White,White,White,0,Yellow,Yellow,Yellow,0
0,Pink,Pink,Pink,0,Orange,Orange,Orange,0,Pink,Pink,Pink,0
0,Blue,Blue,Blue,0,LightBlue,LightBlue_Item,LightBlue,0,Blue,Blue,Blue,0
0,Red,Red,Red,0,Green,Green,Green,0,Red,Red,Red,0
0,Green,Green_Item,Green,0,Red,Red_Item,Red,0,Green,Green_Item,Green,0
0,LightBlue,LightBlue,LightBlue,0,Blue,Blue,Blue,0,LightBlue,LightBlue,LightBlue,0
0,Orange,Orange,Orange,0,Pink,Pink,Pink,0,Orange,Orange,Orange,0
0,White,White_Item,White,0,Yellow,Yellow,Yellow,0,White,White_Item,White,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
