0,0,0,0,0,0,0,0,0,0,0,0,0
White,0,0,0,0,0,0,0,0,0,0,0,0
White,Orange,0,0,0,0,0,0,0,0,0,0,0
White,Orange,LightBlue_Item,0,0,0,0,0,0,0,0,0,0
White,Orange,LightBlue,Green,9,9,9,9,9,9,9,9,9
White,Orange,LightBlue,Green,Red,5,5,5,5,5,5,5,5
White,Orange,LightBlue,Green,Red,Blue_Item,8,8,8,8,8,8,8
White,Orange_Item,LightBlue,Green,Red,Blue,Pink,6,6,6,6,6,6
White,Orange,LightBlue,Green,Red,Blue,Pink,Yellow_Item,7,7,7,7,7
White,Orange,LightBlue,Green_Item,Red,Blue,Pink,Yellow,White,4,4,4,4
White,Orange,LightBlue,Green,Red,Blue,Pink,Yellow,White,Orange,0,0,0
White,Orange,LightBlue,Green_Item,Red,Blue,Pink,Yellow,White,Orange,LightBlue,0,0
White,Orange,LightBlue,Green,Red,Blue_Item,Pink,Yellow,White,Orange,LightBlue,Green,0
Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Silver,Red_Item
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
