0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow,Yellow,Yellow,Yellow,Yellow,Gold,0,Gold,Yellow,Yellow,Yellow,Yellow,Yellow
Pink,Pink,Pink,Pink,Pink,Gold,0,Gold,Pink,Pink,Pink,Pink,Pink
Gold,Gold,White_Item,Gold,Gold,Gold,0,Gold,Gold,Gold,White_Item,Gold,Gold
Blue,Blue,Blue,Blue,Blue,Gold,0,Gold,Blue,Blue,Blue,Blue,Blue
Red,Red,Red,Red,Red,Gold,0,Gold,Red,Red,Red,Red,Red
Green,Green,Green,Green,Green,Gold,0,Gold,Green,Green,Green,Green,Green
Silver,Silver,White_Item,Silver,Silver,Gold,0,Gold,Silver,Silver,White_Item,Silver,Silver
LightBlue,LightBlue,LightBlue,LightBlue,LightBlue,Gold,0,Gold,LightBlue,LightBlue,LightBlue,LightBlue,LightBlue
Orange,Orange,Orange,Orange,Orange,Gold,0,Gold,Orange,Orange,Orange,Orange,Orange
White,White,White,White,White,Gold,0,Gold,White,White,White,White,White
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
