0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow_Item,Pink_Item,0,0,0,0,0,0,0,0,0,0,0
Yellow_Item,Pink_Item,Blue_Item,Red_Item,0,0,0,0,0,0,0,0,0
Yellow_Item,Pink_Item,Blue_Item,Red_Item,Green_Item,LightBlue_Item,0,0,0,0,0,0,0
Yellow_Item,Pink_Item,Blue_Item,Red_Item,Green_Item,LightBlue_Item,Orange_Item,White_Item,0,0,0,0,0
Yellow_Item,Pink_Item,Blue_Item,Red_Item,Green_Item,LightBlue_Item,Orange_Item,White_Item,Yellow_Item,Pink_Item,0,0,0
Silver,Pink_Item,Blue_Item,Red_Item,Green_Item,LightBlue_Item,Orange_Item,White_Item,Yellow_Item,Pink_Item,Blue_Item,Red_Item,0
0,Gold,Silver,Red_Item,Green_Item,LightBlue_Item,Orange_Item,White_Item,Yellow_Item,Pink_Item,Blue_Item,Red_Item,Green_Item
0,0,0,Gold,Silver,LightBlue_Item,Orange_Item,White_Item,Yellow_Item,Pink_Item,Blue_Item,Red_Item,Green_Item
0,0,0,0,0,Gold,Silver,White_Item,Yellow_Item,Pink_Item,Blue_Item,Red_Item,Green_Item
0,0,0,0,0,0,0,Gold,Silver,Pink_Item,Blue_Item,Red_Item,Green_Item
0,0,0,0,0,0,0,0,0,Gold,Silver,Red_Item,Green_Item
0,0,0,0,0,0,0,0,0,0,0,Gold,Silver
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
